order_id,order_date,product_id,quantity,region,product_name,category,unit_price,revenue
1001,2024-06-12,P002,1.0,South,Mechanical Keyboard,Accessories,2499,2499.0
1002,2024-03-11,P004,1.0,South,Laptop Stand,Office,1099,1099.0
1003,2024-01-27,P002,2.0,West,Mechanical Keyboard,Accessories,2499,4998.0
1004,2024-01-09,P001,1.0,South,Wireless Mouse,Accessories,799,799.0
1005,2024-02-29,P001,2.0,South,Wireless Mouse,Accessories,799,1598.0
1006,2024-06-15,P007,1.0,West,"Monitor 24""",Electronics,8999,8999.0
1007,2024-05-30,P005,1.0,North,Webcam HD,Electronics,1999,1999.0
1008,2024-02-10,P007,1.0,Unknown,"Monitor 24""",Electronics,8999,8999.0
1009,2024-02-09,P004,1.0,East,Laptop Stand,Office,1099,1099.0
1010,2024-01-27,P002,2.0,North,Mechanical Keyboard,Accessories,2499,4998.0
1011,2024-04-01,P006,2.0,East,Bluetooth Speaker,Electronics,1599,3198.0
1012,2024-01-12,P008,2.0,North,Desk Lamp,Office,699,1398.0
1013,2024-04-06,P002,2.0,East,Mechanical Keyboard,Accessories,2499,4998.0
1014,2024-06-09,P006,2.0,South,Bluetooth Speaker,Electronics,1599,3198.0
1015,2024-06-29,P002,1.0,South,Mechanical Keyboard,Accessories,2499,2499.0
1016,2024-02-28,P005,1.0,South,Webcam HD,Electronics,1999,1999.0
1017,2024-01-26,P007,1.0,West,"Monitor 24""",Electronics,8999,8999.0
1018,2024-06-11,P006,1.0,East,Bluetooth Speaker,Electronics,1599,1599.0
1019,2024-03-31,P004,3.0,East,Laptop Stand,Office,1099,3297.0
1020,2024-06-28,P002,2.0,South,Mechanical Keyboard,Accessories,2499,4998.0
1021,2024-02-13,P004,1.0,West,Laptop Stand,Office,1099,1099.0
1022,2024-04-07,P005,3.0,South,Webcam HD,Electronics,1999,5997.0
1023,2024-05-22,P004,3.0,East,Laptop Stand,Office,1099,3297.0
1024,2024-01-15,P004,1.0,North,Laptop Stand,Office,1099,1099.0
1025,2024-03-21,P007,1.0,North,"Monitor 24""",Electronics,8999,8999.0
1026,2024-02-24,P006,1.0,South,Bluetooth Speaker,Electronics,1599,1599.0
1027,2024-05-07,P007,3.0,West,"Monitor 24""",Electronics,8999,26997.0
1028,2024-02-06,P005,1.0,South,Webcam HD,Electronics,1999,1999.0
1029,2024-05-23,P005,3.0,North,Webcam HD,Electronics,1999,5997.0
1030,2024-04-19,P007,1.0,South,"Monitor 24""",Electronics,8999,8999.0
1031,2024-02-05,P008,1.0,North,Desk Lamp,Office,699,699.0
1032,2024-01-29,P003,3.0,South,USB-C Hub,Accessories,1299,3897.0
1033,2024-06-23,P007,2.0,North,"Monitor 24""",Electronics,8999,17998.0
1034,2024-04-08,P007,2.0,West,"Monitor 24""",Electronics,8999,17998.0
1035,2024-05-15,P005,2.0,North,Webcam HD,Electronics,1999,3998.0
1036,2024-06-23,P002,3.0,North,Mechanical Keyboard,Accessories,2499,7497.0
1037,2024-03-09,P006,1.0,East,Bluetooth Speaker,Electronics,1599,1599.0
1038,2024-04-21,P003,2.0,North,USB-C Hub,Accessories,1299,2598.0
1039,2024-03-08,P003,2.0,North,USB-C Hub,Accessories,1299,2598.0
1040,2024-06-09,P005,1.0,South,Webcam HD,Electronics,1999,1999.0
1041,2024-05-09,P004,1.0,East,Laptop Stand,Office,1099,1099.0
1042,2024-02-11,P001,2.0,East,Wireless Mouse,Accessories,799,1598.0
1043,2024-05-05,P001,1.0,East,Wireless Mouse,Accessories,799,799.0
1044,2024-03-19,P004,1.0,South,Laptop Stand,Office,1099,1099.0
1045,2024-05-25,P002,1.0,South,Mechanical Keyboard,Accessories,2499,2499.0
1046,2024-05-04,P002,1.0,North,Mechanical Keyboard,Accessories,2499,2499.0
1047,2024-02-02,P003,3.0,West,USB-C Hub,Accessories,1299,3897.0
1048,2024-05-20,P003,1.0,North,USB-C Hub,Accessories,1299,1299.0
1049,2024-06-04,P007,1.0,North,"Monitor 24""",Electronics,8999,8999.0
1050,2024-06-25,P004,3.0,East,Laptop Stand,Office,1099,3297.0
1051,2024-04-12,P006,2.0,North,Bluetooth Speaker,Electronics,1599,3198.0
1052,2024-04-25,P002,1.0,South,Mechanical Keyboard,Accessories,2499,2499.0
1053,2024-01-17,P006,1.0,North,Bluetooth Speaker,Electronics,1599,1599.0
1054,2024-05-21,P004,2.0,South,Laptop Stand,Office,1099,2198.0
1055,2024-01-02,P002,3.0,South,Mechanical Keyboard,Accessories,2499,7497.0
1056,2024-01-16,P004,1.0,North,Laptop Stand,Office,1099,1099.0
1057,2024-03-25,P002,2.0,South,Mechanical Keyboard,Accessories,2499,4998.0
1058,2024-03-12,P008,1.0,North,Desk Lamp,Office,699,699.0
1059,2024-02-03,P008,1.0,West,Desk Lamp,Office,699,699.0
1060,2024-04-14,P004,1.0,North,Laptop Stand,Office,1099,1099.0
1061,2024-06-17,P007,1.0,West,"Monitor 24""",Electronics,8999,8999.0
1062,2024-04-15,P008,1.0,South,Desk Lamp,Office,699,699.0
